ID,Name,Year,Season,English,Japanese,Episodes,Broadcast,Source,Duration,Rating,Score,Members,Favorites,Action,Adventure,Cars,Comedy,Dementia,Demons,Drama,Ecchi,Fantasy,Game,Harem,Hentai,Historical,Horror,Josei,Kids,Magic,Martial Arts,Mecha,Military,Music,Mystery,Parody,Police,Psychological,Romance,Samurai,School,Sci-Fi,Seinen,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Space,Sports,Super Power,Supernatural,Thriller,Vampire,Yaoi,Yuri
39587,Re Zero kara Hajimeru Isekai Seikatsu 2nd Season,2020,summer,,Re：ゼロから始める異世界生活,,Unknown,Light novel,,R - 17+ (violence & profanity),,176535,875,,,,,,,1,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,
40454,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,2020,summer,Is It Wrong to Try to Pick Up Girls in a Dungeon? III,ダンジョンに出会いを求めるのは間違っているだろうか 3期,,Unknown,Light novel,24,PG-13 - Teens 13 or older,,65693,101,1,1,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
40956,Enen no Shouboutai Ni no Shou,2020,summer,,炎炎ノ消防隊 弐ノ章,,Unknown,Manga,,PG-13 - Teens 13 or older,,49477,59,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,
40497,Mahouka Koukou no Rettousei Raihousha-hen,2020,summer,,魔法科高校の劣等生 来訪者編,,Unknown,Light novel,23,PG-13 - Teens 13 or older,,36731,153,1,,,,,,,,,,,,,,,,1,,,,,,,,,1,,1,1,,,,,,,,,,1,,,,
40776,Haikyuu To the Top 2nd Season,2020,summer,,ハイキュー!! TO THE TOP 第2期,12,Unknown,Manga,,PG-13 - Teens 13 or older,,33766,66,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,1,,,,,,
40839,Kanojo Okarishimasu,2020,summer,,"彼女, お借りします",,Unknown,Manga,,None,,10648,86,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,1,,,,,,,,,,
40496,Maou Gakuin no Futekigousha Shijou Saikyou no Maou no Shiso Tensei shite Shison-tachi no Gakkou e,2020,summer,,魔王学院の不適合者 ～史上最強の魔王の始祖、転生して子孫たちの学校へ通う～,,Unknown,Light novel,,None,,9757,50,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,
40052,Great Pretender,2020,summer,,,23,Thursdays at 00:55 (JST),Original,,None,,7203,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40436,Peter Grill to Kenja no Jikan,2020,summer,Peter Grill and the Philosopher's Time,ピーター・グリルと賢者の時間,,Unknown,Manga,,None,,4652,11,,,,1,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39948,Muhyo to Rouji no Mahouritsu Soudan Jimusho 2nd Season,2020,summer,Muhyo & Roji's Bureau of Supernatural Investigation 2nd Season,ムヒョとロージーの魔法律相談事務所 2期,,Unknown,Manga,23,PG-13 - Teens 13 or older,,3856,5,1,,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,,,
40550,Assault Lily Bouquet,2020,summer,,アサルトリリィ Bouquet,,Unknown,Other,,None,,3637,4,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
41226,Uzaki-chan wa Asobitai,2020,summer,,宇崎ちゃんは遊びたい！,,Unknown,Manga,,None,,3471,13,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
38853,Ex-Arm,2020,summer,,EX-ARM,,Unknown,Manga,,None,,3104,2,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,
40074,Gibiate,2020,summer,,ジビエート,,Unknown,Original,,None,,2996,3,1,,,,,,,,1,,,,,1,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,
40623,Dokyuu Hentai HxEros,2020,summer,,ド級編隊エグゼロス,,Unknown,Manga,,None,,2968,9,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,1,,,,
38669,Tsukiuta The Animation 2,2020,summer,,ツキウタ. THE ANIMATION 2,,Unknown,Music,,PG-13 - Teens 13 or older,,1473,13,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
40085,Maesetsu,2020,summer,,まえせつ!,,Unknown,Original,,None,,808,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
